Time (s);Fᵧ (N)
8.9800000000;1.9787238210
8.9900000000;1.9430646166
9.0000000000;1.9074054122
9.0100000000;1.8539166056
9.0200000000;1.8539166056
9.0300000000;1.8360870034
9.0400000000;1.5508133683
9.0500000000;1.1407325179
9.0600000000;0.7306516675
9.0700000000;0.4810372368
9.0800000000;0.3918892259
9.0900000000;0.2670820105
9.1000000000;0.2849116127
9.1100000000;0.1779339995
9.1200000000;0.0887859886
9.1300000000;0.0709563864
9.1400000000;0.0887859886
9.1500000000;0.1244451930
9.1600000000;0.1779339995
9.1700000000;0.1422747952
9.1800000000;0.2849116127
9.1900000000;0.4988668390
9.2000000000;0.5166964412
9.2100000000;0.4097188280
9.2200000000;0.2492524083
9.2300000000;0.0531267842
9.2400000000;-0.1429988399
9.2500000000;-0.2321468509
9.2600000000;-0.0003620224
9.2700000000;0.4810372368
9.2800000000;1.0159253026
9.2900000000;1.5329837662
